No.,Scan Name,CTC Scan Mode,Scan Tx Mode,Hang Time,Priority Channel 1,Priority Channel 2,Designed Channel,Priority Sweep Time,Talkback,Channel Members
1,Scan List 1,Detection CTC,Current Channel,3.0,None,None,Channel 1,1100,1,Channel 2|Channel  3|Channel  4|Channel  5|Channel 6|Channel 7|Channel 8|Channel 9|Channel 10|Channel 11|Channel 12|Channel 13|Channel 14|Channel 15|Channel 15|
2,Scan List 2,Detection CTC,Current Channel,3.0,None,None,Channel 1,500,0,Channel 2|Channel  3|Channel  4|Channel  5|Channel 6|Channel 7|Channel 8|Channel 9|
